SampleID,group
PreDOX-AE1_count,PreDOX-AE
PreDOX-AE2_count,PreDOX-AE
PreDOX-AE3_count,PreDOX-AE
AE1_count,AE
AE2_count,AE
AE3_count,AE
Control1_count,Control
Control2_count,Control
Control3_count,Control
DOX-AE1_count,DOX-AE
DOX-AE2_count,DOX-AE
DOX-AE3_count,DOX-AE
PostDOX1_count,PostDOX
PostDOX2_count,PostDOX
PostDOX3_count,PostDOX
AE-PostDOX1_count,AE-PostDOX
AE-PostDOX2_count,AE-PostDOX
AE-PostDOX3_count,AE-PostDOX
PreDOX1_count,PreDOX
PreDOX2_count,PreDOX
PreDOX3_count,PreDOX
